iter	Passed	Remaining
940	1955	122
941	1956	120
942	1958	118
943	1959	116
944	1961	114
945	1962	112
946	1963	110
947	1965	107
948	1968	105
949	1969	103
950	1971	101
951	1972	99
952	1974	97
953	1975	95
954	1976	93
955	1977	91
956	1977	88
957	1979	86
958	1981	84
959	1982	82
960	1983	80
961	1984	78
962	1986	76
963	1987	74
964	1988	72
965	1989	70
966	1991	68
967	1992	65
968	1993	63
969	1997	61
970	1999	59
971	2000	57
972	2002	55
973	2003	53
974	2004	51
975	2005	49
976	2006	47
977	2007	45
978	2009	43
979	2011	41
980	2013	39
981	2014	36
982	2016	34
983	2018	32
984	2019	30
985	2021	28
986	2022	26
987	2024	24
988	2026	22
989	2027	20
990	2028	18
991	2029	16
992	2031	14
993	2032	12
994	2032	10
995	2033	8
996	2034	6
997	2035	4
998	2035	2
999	2036	0
